state,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),PARTY,PRES PARTY,GENERAL %,GE WINNER INDICATOR,year
NV,S6NV00176,,Brendan,Trainor,LBT,R,0.90%,,2006
NY,S0NY00188,(I),Hillary Rodham,Clinton,D,R,60.11%,W,2006
NY,S6NY00243,,John,Spencer,R,R,27.01%,,2006
NY,S6NY00342,,Howie,Hawkins,GRE,R,1.24%,,2006
NY,S6NY00334,,Jeffrey T.,Russell,LBT,R,0.47%,,2006
NY,S6NY00367,,Roger,Calero,SWP,R,0.16%,,2006
NY,S6NY00359,,Willam,Van Auken,SEP,R,0.13%,,2006
OH,S6OH00163,,Sherrod,Brown,D,R,56.16%,W,2006
OH,S2OH00113,(I),Mike,DeWine,R,R,43.82%,,2006
OH,S6OH00205,,Richard,Duncan,W,R,0.02%,,2006
PA,S6PA00217,,"Bob, Jr.",Casey,D,R,58.64%,W,2006
PA,S4PA00063,(I),Rick,Santorum,R,R,41.28%,,2006
RI,S6RI00221,,Sheldon,Whitehouse,D,R,53.47%,W,2006
RI,S8RI00102,(I),Lincoln D.,Chafee,R,R,46.44%,,2006
RI,,,Steven,Laffey,W,R,0.05%,,2006
TN,S6TN00216,,Bob,Corker,R,R,50.71%,W,2006
TN,S6TN00240,,"Harold, Jr.",Ford,D,R,47.99%,,2006
TN,S6TN00281,,Ed,Choate,IND,R,0.59%,,2006
TN,,,James Anthony,Gray,W,R,0.00%,,2006
TX,S4TX00086,(I),Kay Bailey,Hutchison,R,R,61.69%,W,2006
TX,S6TX00180,,Barbara Ann,Radnofsky,D,R,36.04%,,2006
TX,S2TX00254,,Scott Lanier,Jameson,LBT,R,2.26%,,2006
UT,S6UT00063,(I),Orrin G.,Hatch,R,R,62.36%,W,2006
UT,S6UT00139,,Pete,Ashdown,D,R,31.06%,,2006
UT,S6UT00188,,Scott N.,Bradley,CON,R,3.77%,,2006
UT,S6UT00212,,Roger I.,Price,PCH,R,1.59%,,2006
UT,S6UT00204,,Dave Starr,Seely,LBT,R,0.78%,,2006
VA,S6VA00127,,"James H. ""Jim,"" Jr.",Webb,D,R,49.59%,W,2006
VA,S8VA00214,(I),George F.,Allen,R,R,49.20%,,2006
VA,S6VA00135,,Glenda Gail,Parker,IGR,R,1.10%,,2006
VT,S4VT00033,,Bernard,Sanders,IND,R,65.41%,W,2006
VT,S6VT00103,,Rich,Tarrant,R,R,32.36%,,2006
VT,S4VT00108,,Craig,Hill,VGR,R,0.59%,,2006
VT,S4VT00124,,Peter,Moss,ABC,R,0.58%,,2006
VT,S6VT00152,,Pete,Diamondstone,LU,R,0.31%,,2006
WA,S8WA00194,(I),Maria,Cantwell,D,R,56.85%,W,2006
WA,S6WA00248,,Mike,McGavick,R,R,39.93%,,2006
WA,S6WA00271,,Bruce,Guthrie,LBT,R,1.41%,,2006
WA,S6WA00255,,Aaron,Dixon,GRE,R,1.02%,,2006
WA,S6WA00289,,Robin,Adair,IND,R,0.79%,,2006
WI,S6WI00061,(I),Herb,Kohl,D,R,67.31%,W,2006
WI,S4WI00140,,Robert Gerald,Lorge,R,R,29.48%,,2006
WI,S6WI00129,,Rae,Vogeler,WG,R,1.98%,,2006
WI,S6WI00145,,Ben J.,Glatzel,IND,R,1.17%,,2006
WV,S6WV00014,(I),Robert C.,Byrd,D,R,64.42%,W,2006
WV,S4WV00084,,John R.,Raese,R,R,33.71%,,2006
WV,S6WV00139,,Jesse,Johnson,MTP,R,1.86%,,2006
WY,S4WY00055,(I),Craig,Thomas,R,R,69.99%,W,2006
WY,S6WY00183,,Dale,Groutage,D,R,29.86%,,2006
AK,S4AK00099,(I),Lisa,Murkowski,R,O/R,48.58%,W,2004
AK,S4AK00107,,Tony,Knowles,D,O/R,45.55%,,2004
AK,H4AK00115,,Marc J.,Millican,N,O/R,2.88%,,2004
AK,S4AK00172,,Jerry,Sanders,AKI,O/R,1.23%,,2004
AK,S4AK00093,,Jim,Sykes,GRN,O/R,0.99%,,2004
AK,S8AK00066,,Scott A.,Kohlhaas,LBT,O/R,0.40%,,2004
AL,S6AL00013,(I),Richard,Shelby,R,O/R,67.55%,W,2004
AL,S2AL00087,,Wayne,Sowell,D,O/R,32.35%,,2004
AR,S8AR00112,(I),Blanche L.,Lincoln,D,O/R,55.90%,W,2004
AR,S4AR00046,,Jim,Holt,R,O/R,44.07%,,2004
AR,S4AR00095,,Glenn,Schwarz,W,O/R,0.02%,,2004
AZ,S6AZ00019,(I),John,McCain,R,O/R,76.74%,W,2004
AZ,S0AZ00152,,Stuart,Starky,D,O/R,20.62%,,2004
AZ,S4AZ00121,,Ernest,Hancock,LBT,O/R,2.64%,,2004
CA,S2CA00286,(I),Barbara,Boxer,D,O/R,57.71%,W,2004
CA,S4CA00274,,Bill,Jones,R,O/R,37.80%,,2004
CA,S4CA00357,,Marsha,Feinland,PFP,O/R,2.02%,,2004
CA,S4CA00266,,"James P. ""Jim""",Gray,LBT,O/R,1.80%,,2004
CA,S4CA00332,,Don J.,Grundmann,AIP,O/R,0.67%,,2004
CA,,,Dennis,Richter,W,O/R,0.00%,,2004
CA,,,Howard,Johnson,W,O/R,0.00%,,2004
CO,S4CO00163,,Ken,Salazar,D,O/R,51.30%,W,2004
CO,S4CO00189,,Pete,Coors,R,O/R,46.53%,,2004
CO,S2CO00142,,"Douglas ""Dayhorse""",Campbell,AMC,O/R,0.89%,,2004
CO,S4CO00254,,Richard,Randall,LBT,O/R,0.48%,,2004
CO,S4CO00270,,John R.,Harris,I,O/R,0.40%,,2004
CO,S4CO00262,,Victor,Good,CRP,O/R,0.31%,,2004
CO,S4CO00288,,Finn,Gotaas,UN,O/R,0.08%,,2004
CO,S4CO00296,,Raul,Acosta,W,O/R,0.00%,,2004
CT,S0CT00037,(I),Chris,Dodd,D,O/R,66.35%,W,2004
CT,S4CT00146,,Jack C.,Orchulli,R,O/R,32.13%,,2004
CT,S4CT00153,,Timothy A.,Knibbs,CNC,O/R,0.87%,,2004
CT,S4CT00161,,Leonard H.,Rasch,LBT,O/R,0.64%,,2004
FL,S4FL00298,,Mel,Martinez,R,O/R,49.43%,W,2004
FL,S4FL00223,,Betty,Castor,D,O/R,48.32%,,2004
FL,S4FL00314,,Dennis F.,Bradley,V,O/R,2.24%,,2004
FL,S4FL00405,,Mark,Stufft,W,O/R,0.00%,,2004
FL,S4FL00272,,Peter,Blass,W,O/R,0.00%,,2004
GA,S6GA00119,,Johnny,Isakson,R,O/R,58.24%,W,2004
GA,S4GA11137,,Denise L.,Majette,D,O/R,39.60%,,2004
GA,S4GA11103,,Allen,Buckley,LBT,O/R,2.16%,,2004
GA,S4GA11038,,Al,Bartell,W,O/R,0.00%,,2004
HI,S4HI00011,(I),Daniel K.,Inouye,D,O/R,75.51%,W,2004
HI,S4HI00102,,Cam,Cavasso,R,O/R,20.99%,,2004
HI,S8HI00160,,Jim,Brewer,N,O/R,2.23%,,2004
HI,S8HI00152,,Jeff,Mallan,LBT,O/R,1.27%,,2004
IA,S0IA00028,(I),Chuck,Grassley,R,O/R,70.18%,W,2004
IA,S4IA00046,,Arthur,Small,D,O/R,27.88%,,2004
IA,S4IA00061,,Christy Ann,Welty,LBT,O/R,1.03%,,2004
IA,S4IA00053,,Daryl A.,Northrop,IG,O/R,0.75%,,2004
IA,S4IA00079,,Edwin B.,Fruit,SWP,O/R,0.13%,,2004
ID,S8ID00027,(I),Mike,Crapo,R,O/R,99.18%,W,2004
IL,S4IL00180,,Barack,Obama,D,O/R,69.97%,W,2004
IL,S4IL00404,,Alan,Keyes,R,O/R,27.05%,,2004
IL,S4IL00370,,Albert J.,Franzen,I,O/R,1.58%,,2004
IL,S4IL00412,,Jerry,Kohn,LBT,O/R,1.35%,,2004
IL,,,Bill,Kuhnke,W,O/R,0.04%,,2004
IL,,,Kathy,Campbell,W,O/R,0.00%,,2004
IN,S8IN00049,(I),Evan,Bayh,D,O/R,61.65%,W,2004
IN,S4IN00071,,Marvin,Scott,R,O/R,37.23%,,2004
IN,S4IN00105,,Albert,Barger,LBT,O/R,1.13%,,2004
KS,S6KS00122,(I),Samuel D.,Brownback,R,O/R,69.16%,W,2004
KS,S4KS00085,,Lee,Jones,D,O/R,27.49%,,2004
KS,S6KS00205,,Steven A.,Rosile,LBT,O/R,1.93%,,2004
KS,S2KS00089,,George,Cook,REF,O/R,1.42%,,2004
KY,S8KY00118,(I),Jim,Bunning,R,O/R,50.66%,W,2004
KY,S4KY00059,,Daniel,Mongiardo,D,O/R,49.34%,,2004
LA,S4LA00057,,David,Vitter,R,O/R,51.03%,W,2004
LA,S4LA00040,,"""Chris""",John,D,O/R,29.34%,,2004
LA,S4LA00081,,Richard M.,Fontanesi,O,O/R,0.82%,,2004
MD,S6MD00140,(I),Barbara A.,Mikulski,D,O/R,64.77%,W,2004
MD,S4MD00152,,E.J.,Pipkin,R,O/R,33.71%,,2004
MD,S4MD00244,,Maria,Allwine,GRN,O/R,1.07%,,2004
MD,S4MD00236,,Thomas,Trump,CON,O/R,0.39%,,2004
MO,S6MO00289,(I),Christopher (Kit),Bond,R,O/R,56.09%,W,2004
MO,S4MO00169,,Nancy,Farmer,D,O/R,42.80%,,2004
MO,S4MO00193,,Kevin,Tull,LBT,O/R,0.73%,,2004
MO,S4MO00201,,Don,Griffin,CON,O/R,0.38%,,2004
NC,S4NC00089,,Richard,Burr,R,O/R,51.60%,W,2004
NC,S2NC00109,,Erskine,Bowles,D,O/R,47.02%,,2004
NC,S4NC00113,,Tom,Bailey,LBT,O/R,1.38%,,2004
NC,S4NC00121,,Walter F.,Rucker,W,O/R,0.01%,,2004
ND,S2ND00040,(I),Byron L.,Dorgan,D,O/R,68.28%,W,2004
ND,S4ND00053,,Mike,Liffrig,R,O/R,31.72%,,2004
NH,S2NH00025,(I),Judd,Gregg,R,O/R,66.18%,W,2004
NH,S4NH00054,,Doris Granny D.,Haddock,D,O/R,33.72%,,2004
NV,S6NV00028,(I),Harry,Reid,D,O/R,61.08%,W,2004
NV,S4NV00130,,Richard,Ziser,R,O/R,35.14%,,2004
NV,,,,None of These Candidates,,O/R,1.60%,,2004
NV,S4NV00213,,Thomas L.,Hurst,LBT,O/R,1.18%,,2004
NV,H4NV01120,,David K.,Schumann,IAP,O/R,0.74%,,2004
NV,S4NV00205,,Gary,Marinch,NL,O/R,0.26%,,2004
NY,S8NY00082,(I),Charles,Schumer,D,O/R,71.16%,W,2004
NY,S4NY00156,,Howard,Mills,R,O/R,24.24%,,2004
NY,S4NY00172,,Marilyn F.,O'Grady,C,O/R,3.30%,,2004
NY,S4NY00180,,David E.,McReynolds,GRN,O/R,0.55%,,2004
NY,S4NY00164,,Donald,Silberger,LBT,O/R,0.28%,,2004
NY,S4NY00032,,Abraham,Hirschfeld,BLD,O/R,0.24%,,2004
NY,S4NY00198,,Martin,Koppel,SWP,O/R,0.22%,,2004
OH,S8OH00011,(I),George,Voinovich,R,O/R,63.85%,W,2004
OH,S4OH00135,,Eric D.,Fingerhut,D,O/R,36.14%,,2004
OH,S4OH00168,,Helen,Meyers,W,O/R,0.01%,,2004
OK,S4OK00174,,Tom,Coburn,R,O/R,52.77%,W,2004
OK,S4OK00133,,Brad,Carson,D,O/R,41.24%,,2004
OK,S4OK00208,,Sheila,Bilyeu,I,O/R,5.99%,,2004
OR,S6OR00110,(I),Ron,Wyden,D,O/R,63.39%,W,2004
OR,S4OR00107,,Al,King,R,O/R,31.75%,,2004
OR,S4OR00123,,Teresa,Keane,PG,O/R,2.42%,,2004
OR,S2OR00119,,Dan,Fitzgerald,LBT,O/R,1.66%,,2004
OR,S4OR00149,,David,Brownlow,CON,O/R,0.70%,,2004
PA,S6PA00100,(I),Arlen,Specter,R,O/R,52.62%,W,2004
PA,S4PA00147,,Joseph M.,Hoeffel,D,O/R,41.99%,,2004
PA,S4PA00220,,James N.,Clymer,CON,O/R,3.96%,,2004
PA,S4PA00238,,Betsy,Summers,LBT,O/R,1.43%,,2004
SC,S4SC00083,,Jim,DeMint,R,O/R,53.67%,W,2004
SC,S4SC00125,,Inez,Tenenbaum,D,O/R,44.10%,,2004
SC,S4SC00190,,Patrick,Tyndall,CON,O/R,0.84%,,2004
SC,S4SC00216,,Rebekah E.,Sutherland,LBT,O/R,0.67%,,2004
SC,S4SC00224,,Tee,Ferguson,UC,O/R,0.37%,,2004
SC,S4SC00208,,Efia,Nwangaza,,O/R,0.27%,,2004
SD,S2SD00068,,John,Thune,R,O/R,50.58%,W,2004
SD,S6SD00028,(I),Tom,Daschle,D,O/R,49.42%,,2004
UT,S2UT00104,(I),Robert F.,Bennett,R,O/R,68.73%,W,2004
UT,S4UT00134,,R. Paul,Van Dam,D,O/R,28.40%,,2004
UT,S4UT00100,,Gary R.,Van Horn,CON,O/R,1.90%,,2004
UT,S4UT00167,,Joe,Labonte,PCH,O/R,0.97%,,2004
UT,,,Nola,Tuaone,W,O/R,0.00%,,2004
VT,S4VT00017,(I),Patrick,Leahy,D,O/R,70.63%,W,2004
VT,S8VT00059,,Jack,McMullen,R,O/R,24.54%,,2004
VT,S4VT00132,,Cris,Ericson,M,O/R,2.11%,,2004
VT,S4VT00108,,Craig,Hill,VGR,O/R,1.30%,,2004
VT,S4VT00140,,Keith,Stern,I,O/R,1.07%,,2004
VT,S4VT00116,,Ben,Mitchell,LU,O/R,0.29%,,2004
WA,S2WA00189,(I),Patty,Murray,D,O/R,54.98%,W,2004
WA,S4WA00458,,"George R., Jr.",Nethercutt,R,O/R,42.74%,,2004
WA,S4WA00516,,J.,Mills,LBT,O/R,1.21%,,2004
WA,S4WA00508,,Mark B.,Wilson,GRN,O/R,1.08%,,2004
WI,S8WI00026,(I),Russ,Feingold,D,O/R,55.35%,W,2004
WI,S4WI00116,,Tim,Michels,R,O/R,44.11%,,2004
WI,S4WI00157,,Arif,Khan,LBT,O/R,0.28%,,2004
WI,S6WI00087,,Eugene,Hem,I,O/R,0.23%,,2004
AK,S2AK00010,(I),Ted,Stevens,R,R,78.17%,W,2002
AK,S0AK00097,,Frank J.,Vondersaar,D,R,10.51%,,2002
AK,S2AK00093,,Jim,Sykes,GRN,R,7.24%,,2002
AK,S2AK00069,,Jim,Dore,AKI,R,2.93%,,2002
AK,S2AK00101,,"Leonard J. ""Len""",Karpinski,LBT,R,1.03%,,2002
AL,S6AL00195,(I),Jeff,Sessions,R,R,58.58%,W,2002
AL,S2AL00079,,Susan,Parker,D,R,39.83%,,2002
AL,S2AL00103,,Jeff,Allen,LBT,R,1.50%,,2002
AR,S0AR00028,,Mark,Pryor,D,R,53.90%,W,2002
AR,S6AR00124,(I),Tim,Hutchinson,R,R,46.10%,,2002
CO,S6CO00168,(I),Wayne,Allard,R,R,50.70%,W,2002
CO,S6CO00135,,Tom,Strickland,D,R,45.77%,,2002
CO,S2CO00142,,"Douglas ""Dayhorse""",Campbell,AMC,R,1.52%,,2002
CO,S2CO00118,,Rick,Stanley,LBT,R,1.47%,,2002
CO,S0CO00161,,John,Heckman,CPP,R,0.50%,,2002
CO,S2CO00134,,Gary,Cooper,W,R,0.04%,,2002
DE,S8DE00012,(I),Joseph R.,"Biden, Jr.",D,R,58.22%,W,2002
DE,S6DE00073,,Raymond J.,Clatworthy,R,R,40.80%,,2002
DE,S2DE00049,,"Maurice ""Bud""",Barros,IDE,R,0.43%,,2002
DE,S2DE00056,,Raymond T.,Buranello,LBT,R,0.40%,,2002
DE,S0DE00050,,Robert E.,Mattson,NL,R,0.15%,,2002
GA,S2GA00118,,Saxby,Chambliss,R,R,52.73%,W,2002
GA,S6GA00127,(I),Max,Cleland,D,R,45.90%,,2002
GA,S2GA00134,,"Claude ""Sandy"" ",Thomas,LBT,R,1.37%,,2002
IA,S4IA00020,(I),Tom,Harkin,D,R,54.18%,W,2002
IA,S0IA00077,,Greg,Ganske,R,R,43.78%,,2002
IA,S2IA00107,,Timothy A.,Harthan,IG,R,1.11%,,2002
IA,S2IA00115,,Richard J.,Moore,LBT,R,0.87%,,2002
ID,S0ID00057,(I),Larry E.,Craig,R,R,65.16%,W,2002
ID,S2ID00061,,Alan,Blinken,D,R,32.55%,,2002
ID,S2ID00103,,Donovan,Bramwell,LBT,R,2.29%,,2002
IL,S6IL00151,(I),Richard J.,Durbin,D,R,60.33%,W,2002
IL,S2IL00127,,Jim,Durkin,R,R,38.02%,,2002
IL,S2IL00135,,Steven,Burgauer,LBT,R,1.65%,,2002
KS,S6KS00080,(I),Pat,Roberts,R,R,82.52%,W,2002
KS,S6KS00205,,Steven A.,Rosile,LBT,R,9.10%,,2002
KS,S2KS00089,,George,Cook,REF,R,8.37%,,2002
KY,S2KY00012,(I),Mitch,McConnell,R,R,64.67%,W,2002
KY,S2KY00061,,Lois Combs,Weinberg,D,R,35.32%,,2002
KY,S2KY00095,,Ralph H.,Stewart,W,R,0.01%,,2002
LA,S6LA00227,(I),Mary,Landrieu,D,R,46.00%,W,2002
LA,S2LA00077,,Suzanne Haik,Terrell,R,R,27.24%,,2002
LA,S2LA00093,,"Patrick E. ""Live Wire""",Landry,O,R,0.84%,,2002
MA,S4MA00069,(I),John F.,Kerry,D,R,80.03%,W,2002
MA,S2MA00097,,Michael E.,Cloud,LBT,R,18.43%,,2002
MA,,,Randall,Forsberg,W,R,1.24%,,2002
ME,S6ME00159,(I),Susan M.,Collins,R,R,58.44%,W,2002
ME,S0ME00038,,Chellie,Pingree,D,R,41.56%,,2002
MI,S8MI00158,(I),Carl,Levin,D,R,60.61%,W,2002
MI,S2MI00128,,Andrew,Raczkowski,R,R,37.89%,,2002
MI,S2MI00136,,Eric,Borregard,GRN,R,0.76%,,2002
MI,S0MI00171,,John S.,Mangopoulos,REF,R,0.41%,,2002
MI,S2MI00144,,Doug,Dern,NL,R,0.33%,,2002
MN,S2MN00126,,Norm,Coleman,R,R,49.53%,W,2002
MN,S2MN00019,,Walter,Mondale,D,R,47.34%,,2002
MN,S2MN00191,,Jim,Moore,IDP,R,2.00%,,2002
MN,S2MN00175,,Ray,Tricomo,GRN,R,0.45%,,2002
MN,S2MN00217,,Miro Drago,Kovatchevich,CON,R,0.10%,,2002
MN,,,Michelle Marie,Harbeck,W,R,0.00%,,2002
MO,S2MO00353,,Jim,Talent,R,R,49.80%,W,2002
MO,S0MO00159,(I),Jean,Carnahan,D,R,48.67%,,2002
MO,S8MO00095,,Tamara A.,Millay,LBT,R,0.98%,,2002
MO,S2MO00395,,Daniel (Digger),Romano,GRN,R,0.56%,,2002
MS,S8MS00055,(I),Thad,Cochran,R,R,84.58%,W,2002
MS,S4MS00062,,Shawn,O'Hara,REF,R,15.42%,,2002
MT,S8MT00010,(I),Max,Baucus,D,R,62.74%,W,2002
MT,S2MT00054,,Mike,Taylor,R,R,31.73%,,2002
MT,S2MT00088,,Stan,Jones,LBT,R,3.19%,,2002
MT,S8MT00101,,Bob,Kelleher,GRN,R,2.34%,,2002
NC,S2NC00083,,Elizabeth H.,Dole,R,R,53.56%,W,2002
NC,S2NC00109,,Erskine B.,Bowles,D,R,44.96%,,2002
NC,S2NC00257,,Sean,Haugh,LBT,R,1.45%,,2002
NC,S2NC00265,,Paul G.,DeLaney,W,R,0.03%,,2002
NE,S6NE00087,(I),Chuck,Hagel,R,R,82.76%,W,2002
NE,S2NE00052,,Charlie A.,Matulka,D,R,14.64%,,2002
NE,S2NE00060,,John J.,Graziano,LBT,R,1.55%,,2002
NE,S2NE00078,,Phil,Chase,BP,R,1.05%,,2002
NH,S0NH00201,,John E.,Sununu,R,R,50.82%,W,2002
NH,S0NH00219,,Jeanne,Shaheen,D,R,46.40%,,2002
NH,S2NH00157,,"""Ken""",Blevens,LBT,R,2.20%,,2002
NJ,S2NJ00080,,Frank R.,Lautenberg,D,R,53.88%,W,2002
NJ,S2NJ00239,,Douglas R.,Forrester,R,R,43.95%,,2002
NJ,S2NJ00270,,Ted,Glick,I,R,1.15%,,2002
NM,S8NM00010,(I),Pete V.,Domenici,R,R,65.03%,W,2002
NM,S2NM00047,,Gloria,Tristani,D,R,34.97%,,2002
OK,S4OK00083,(I),Jim,Inhofe,R,R,57.30%,W,2002
OK,S0OK00289,,David,Walters,D,R,36.31%,,2002
OK,S2OK00103,,James,Germalic,I,R,6.39%,,2002
OR,S6OR00094,(I),Gordon H.,Smith,R,R,56.21%,W,2002
OR,S2OR00085,,Bill,Bradbury,D,R,39.61%,,2002
OR,S2OR00119,,Dan,Fitzgerald,LBT,R,2.37%,,2002
OR,S6OR00326,,Lon,Mabon,CON,R,1.71%,,2002
RI,S6RI00163,(I),John F.,Reed,D,R,78.36%,W,2002
RI,S2RI00063,,Robert G.,Tingle,R,R,21.56%,,2002
SC,S0SC00149,,Lindsey,Graham,R,R,54.40%,W,2002
SC,S2SC00053,,Alex,Sanders,D,R,44.19%,,2002
SC,S2SC00061,,Ted,Adams,CON,R,0.75%,,2002
SC,S2SC00079,,Victor,Kocher,LBT,R,0.61%,,2002
SD,S6SD00051,(I),Tim,Johnson,D,R,49.62%,W,2002
SD,S2SD00068,,John,Thune,R,R,49.47%,,2002
SD,S2SD00084,,Kurt,Evans,LBT,R,0.91%,,2002
TN,S2TN00058,,Lamar,Alexander,R,R,54.27%,W,2002
TN,S2TN00066,,Bob,Clement,D,R,44.34%,,2002
TN,S6TN00067,,John Jay,Hooker,I,R,0.39%,,2002
TX,S2TX00106,,John,Cornyn,R,R,55.30%,W,2002
TX,S2TX00130,,Ron,Kirk,D,R,43.33%,,2002
TX,S2TX00254,,Scott Lanier,Jameson,LBT,R,0.79%,,2002
TX,S2TX00221,,Roy H.,Williams,GRN,R,0.55%,,2002
TX,S2TX00239,,"James W. ""Jim""",Wright,W,R,0.03%,,2002
VA,S8VA00107,(I),John W.,Warner,R,R,82.58%,W,2002
VA,S0VA00013,,Nancy B.,Spannaus,I,R,9.74%,,2002
WV,S4WV00027,(I),Jay,Rockefeller,D,R,63.11%,W,2002
WV,S8WV00093,,Jay,Wolfe,R,R,36.89%,,2002
WY,S6WY00126,(I),Michael B.,Enzi,R,R,72.95%,W,2002
WY,S2WY00059,,Joyce Jansa,Corcoran,D,R,27.05%,,2002
AZ,,(I),"Kyl, Jon",,R,O,79.32,W,2000
AZ,,,"Toel, William",,I,O,7.82,,2000
AZ,,,"Hansen, Vance",,GRN,O,7.8,,2000
AZ,,,"Hess, Barry J., II",,LBT,O,5.06,,2000
CA,,(I),"Feinstein, Dianne ",,D,O,55.84,W,2000
CA,,,"Campbell, Tom ",,R,O,36.59,,2000
CA,,,"Benjamin, Medea Susan ",,GRN,O,3.08,,2000
CA,,,"Lightfoot, Gail Katherine ",,LBT,O,1.77,,2000
CA,,,"Templin, Diane Beall ",,AIP,O,1.27,,2000
CA,,,"Camahort, Jose Luis ""Joe"" ",,REF,O,0.91,,2000
CA,,,"Rees, Brian M. ",,NL,O,0.55,,2000
CA,,,"Jones, John Emery",,W,O,0,,2000
CT,,(I),"Lieberman, Joe",,D,O,63.21,W,2000
CT,,,"Giordano, Phil",,R,O,34.17,,2000
CT,,,"Kozak, William Jr.",,CNC,O,1.94,,2000
CT,,,"Moore, Wildey J.",,LBT,O,0.67,,2000
DE,,,"Carper, Thomas R.",,D,O,55.52,W,2000
DE,,(I),"Roth, William V. Jr.",,R,O,43.7,,2000
DE,,,"Morrison, J. Burke",,LBT,O,0.34,,2000
DE,,,"Dankof, Mark E.",,CON,O,0.32,,2000
DE,,,"Mattson, Robert",,NL,O,0.12,,2000
DE,,,Scattered,,W,O,0.01,,2000
FL,,,"Nelson, Bill",,D,O,51.04,W,2000
FL,,,"McCollum, Bill",,R,O,46.19,,2000
FL,,,"Logan, Willie",,I,O,1.38,,2000
FL,,,"Simonetta, Joe",,NL,O,0.44,,2000
FL,,,"Deckard, Joel",,REF,O,0.3,,2000
FL,,,"Faulk, Olen C.",,W,O,0,,2000
GA,,(I),"Miller, Zell",,D,O,58.19,W,2000
GA,,,"Mattingly, Matt",,R,O,37.9,,2000
GA,,,"Dixon, Princella Howard",,W,O,0.01,,2000
HI,,(I),"Akaka, Daniel K.",,D,O,72.68,W,2000
HI,,,"Carroll, John",,R,O,24.51,,2000
HI,,,"Clegg, Lauri A.",,NL,O,1.22,,2000
HI,,,"Mallan, Lloyd Jeffrey",,LBT,O,0.9,,2000
HI,,,"Porter, David",,CON,O,0.68,,2000
IN,,(I),"Lugar, Richard G.",,R,O,66.56,W,2000
IN,,,"Johnson, David L.",,D,O,31.85,,2000
IN,,,"Hager, Paul",,LBT,O,1.58,,2000
MA,,(I),"Kennedy, Edward M.",,D,O,72.69,W,2000
MA,,,"Robinson, Jack E. III",,R,O,12.86,,2000
MA,,,"Howell, Carla A.",,LBT,O,11.88,,2000
MA,,,"Lawler, Philip F.",,CON,O,1.62,,2000
MA,,,"Friedgen, Dale E.",,U,O,0.53,,2000
MA,,,"Hyde, Philip III",,TND,O,0.32,,2000
MD,,(I),"Sarbanes, Paul S.",,D,O,63.18,W,2000
MD,,,"Rappaport, Paul H.",,R,O,36.73,,2000
MD,,,"Vaughn, Corrogan R.",,W,O,0,,2000
ME,,(I),"Snowe, Olympia J.",,R,O,68.94,W,2000
ME,,,"Lawrence, Mark W.",,D,O,31.06,,2000
MI,,,"Stabenow, Debbie",,D,O,49.47,W,2000
MI,,(I),"Abraham, Spence",,R,O,47.86,,2000
MI,,,"Abel, Matthew R.",,GRN,O,0.9,,2000
MI,,,"Corliss, Michael R.",,LBT,O,0.72,,2000
MI,,,"Forton, Mark A.",,REF,O,0.63,,2000
MI,,,"Mangopoulos, John",,UST,O,0.28,,2000
MI,,,"Quarton, William",,NL,O,0.14,,2000
MN,,,"Dayton, Mark",,D,O,48.83,W,2000
MN,,(I),"Grams, Rod",,R,O,43.29,,2000
MN,,,"Gibson, James (Jim)",,IDP,O,5.81,,2000
MN,,,"Daniels, David",,GRT,O,0.89,,2000
MN,,,"Ellis, Rebecca",,SWP,O,0.54,,2000
MN,,,"Swan, David",,CON,O,0.37,,2000
MN,,,"Pakieser, Erik D.",,LBT,O,0.27,,2000
MO,,,"Carnahan, Mel",,D,O,50.47,W,2000
MO,,(I),"Ashcroft, John",,R,O,48.39,,2000
MO,,,"Taylor, Evaline",,GRN,O,0.45,,2000
MO,,,"Stauffer, Grant Samuel",,LBT,O,0.43,,2000
MO,,,"Foley, Hugh",,REF,O,0.18,,2000
MO,,,"Dockins, Charles",,NL,O,0.08,,2000
MO,,,"Kennedy, Alyson",,W,O,0,,2000
MS,,(I),"Lott, Trent",,R,O,65.88,W,2000
MS,,,"Brown, Troy",,D,O,31.59,,2000
MS,,,"Giles, Jim",,I,O,0.94,,2000
MS,,,"Napper, Lewis",,LBT,O,0.85,,2000
MS,,,"O’Hara, Shawn",,REF,O,0.74,,2000
MT,,(I),"Burns, Conrad",,R,O,50.55,W,2000
MT,,,"Schweitzer, Brian",,D,O,47.24,,2000
MT,,,"Lee, Gary",,REF,O,2.21,,2000
ND,,(I),"Conrad, Kent",,D,O,61.37,W,2000
ND,,,"Sand, Duane",,R,O,38.63,,2000
NE,,,"Nelson, Ben",,D,O,51,W,2000
NE,,,"Stenberg, Don",,R,O,48.82,,2000
NJ,,,"Corzine, Jon S.",,D,O,50.11,W,2000
NJ,,,"Franks, Bob",,R,O,47.1,,2000
NJ,,,"Afran, Bruce",,I,O,1.09,,2000
NM,,(I),"Bingaman, Jeff",,D,O,61.7,W,2000
NM,,,"Redmond, Bill",,R,O,38.25,,2000
NV,,,"Ensign, John",,R,O,55.09,W,2000
NV,,,"Bernstein, Ed",,D,O,39.69,,2000
NV,,,"Rusco, Kathryn",,GRN,O,1.71,,2000
NV,,,"Johnson, J.J.",,LBT,O,0.9,,2000
NV,,,"Berghof, Ernie",,IAP,O,0.42,,2000
